id,price,year,manufacturer,condition,fuel,odometer
482,15590,2018,volkswagen,good,gas,51500
483,20995,2019,volkswagen,excellent,gas,3097
484,13092,2017,ford,like new,gas,91471
485,10749,2010,ram,excellent,gas,161293
486,38590,2019,ram,good,gas,28556
487,43990,2019,ram,good,gas,17352
488,30990,2011,mercedes-benz,good,hybrid,51086
489,40990,2020,ram,good,gas,12272
490,7373,2014,chevrolet,excellent,gas,100098
491,7995,2011,subaru,excellent,gas,140167
492,13871,2014,ford,like new,gas,54361
493,25939,2015,chevrolet,like new,gas,93009
494,28841,2015,chevrolet,like new,gas,38906
495,11271,2014,chevrolet,like new,gas,124001
496,28941,2017,bmw,like new,gas,45741
497,32654,2018,acura,like new,gas,36483
498,24995,2012,ram,excellent,gas,65568
499,14394,2017,ford,excellent,gas,77000
500,10983,2014,ford,excellent,hybrid,100632
501,19990,2013,volkswagen,good,gas,24294
502,39990,2020,lincoln,good,gas,7469
503,25990,2016,bmw,good,gas,41785
504,17590,2020,kia,good,gas,40166
505,36990,2020,bmw,good,gas,35938
506,5900,1994,ford,good,gas,136000
507,29990,2017,lincoln,good,gas,23545
508,3000,1996,jaguar,good,gas,157000
509,7500,2007,mercedes-benz,excellent,gas,86391
510,43990,2020,acura,good,gas,1944
511,32000,2017,dodge,excellent,gas,54000
512,22000,2018,jeep,like new,gas,30671
513,43590,2020,acura,good,gas,12012
514,41590,2020,acura,good,gas,20003
515,26981,2014,toyota,excellent,gas,98071
516,12563,2013,gmc,excellent,gas,126806
517,39590,2020,acura,good,gas,2835
518,5000,2011,ford,good,gas,176000
519,39990,2020,acura,good,gas,1237
520,13500,2018,chevrolet,like new,gas,45000
521,29715,2014,ford,excellent,gas,58060
522,8300,2013,chevrolet,good,gas,67400
523,26990,2020,hyundai,good,gas,2769
524,40990,2017,mercedes-benz,good,gas,43451
525,30990,2018,mercedes-benz,good,gas,7896
526,34590,2020,cadillac,good,gas,9624
527,4600,2008,kia,excellent,gas,147600
528,7800,2004,ford,excellent,gas,119600
529,22990,2017,volkswagen,good,gas,34443
530,4000,2007,bmw,good,gas,121000
